District,County,DEM,REP,LIB,GRN,UNA,OTH,Total
Legislative District Code 32,STATEWIDE,"44,325","20,931",612,209,"18,245",352,"84,674"
Legislative District Code 33,STATEWIDE,"36,862","41,518",779,218,"22,406",322,"102,105"
Legislative District Code 34A,STATEWIDE,"26,838","15,385",426,145,"11,229",361,"54,384"
Legislative District Code 34B,STATEWIDE,"10,619","13,843",231,74,"6,221",194,"31,182"
Legislative District Code 35A,STATEWIDE,"9,254","11,735",189,61,"5,970",234,"27,443"
Legislative District Code 35B,STATEWIDE,"16,994","32,116",443,116,"12,114",402,"62,185"
Legislative District Code 36,STATEWIDE,"29,606","38,552",595,170,"16,324",547,"85,794"
Legislative District Code 37A,STATEWIDE,"15,237","5,075",142,51,"3,747",129,"24,381"
Legislative District Code 37B,STATEWIDE,"21,104","27,584",336,90,"10,234",404,"59,752"
Legislative District Code 38A,STATEWIDE,"11,593","10,111",134,43,"3,856",144,"25,881"
Legislative District Code 38B,STATEWIDE,"10,643","9,362",161,66,"4,853",194,"25,279"
Legislative District Code 38C,STATEWIDE,"10,048","15,184",230,69,"6,015",290,"31,836"
Legislative District Code 39,STATEWIDE,"42,814","12,193",452,181,"17,290",631,"73,561"
Legislative District Code 40,STATEWIDE,"55,944","4,432",264,272,"8,579",335,"69,826"
Legislative District Code 41,STATEWIDE,"61,938","4,957",187,163,"7,511",299,"75,055"
Legislative District Code 42A,STATEWIDE,"14,490","6,172",182,101,"4,397",255,"25,597"
Legislative District Code 42B,STATEWIDE,"25,409","24,528",411,185,"11,169",634,"62,336"
Legislative District Code 43,STATEWIDE,"62,218","4,456",226,369,"8,555",307,"76,131"
Legislative District Code 44A,STATEWIDE,"20,546","1,080",65,47,"2,231",115,"24,084"
Legislative District Code 44B,STATEWIDE,"39,420","7,078",262,141,"7,726",416,"55,043"
Legislative District Code 45,STATEWIDE,"59,727","4,810",237,215,"7,719",334,"73,042"
Legislative District Code 46,STATEWIDE,"45,331","11,138",496,198,"13,264",378,"70,805"
Legislative District Code 47A,STATEWIDE,"33,843","2,095",136,121,"4,779",835,"41,809"
Legislative District Code 47B,STATEWIDE,"8,959",794,43,27,"1,779",346,"11,948"
,,"2,173,884","1,008,369","21,713","9,164","708,012","32,885","3,954,027"
