District,County,DEM,REP,LIB,OTH,UNA,NLM,GRN,Total
Legislative District Code 28,STATEWIDE,"61,754","19,802",380,865,"20,428",130,86,"103,445"
Legislative District Code 29A,STATEWIDE,"8,989","16,028",189,275,"6,962",26,19,"32,488"
Legislative District Code 29B,STATEWIDE,"10,929","8,058",208,282,"6,571",60,26,"26,134"
Legislative District Code 29C,STATEWIDE,"10,476","14,493",259,328,"7,988",42,42,"33,628"
Legislative District Code 30A,STATEWIDE,"28,171","16,664",324,438,"13,800",82,75,"59,554"
Legislative District Code 30B,STATEWIDE,"10,589","13,217",175,246,"7,791",50,43,"32,111"
Legislative District Code 31,STATEWIDE,"32,393","39,153",636,844,"24,478",145,95,"97,744"
Legislative District Code 32,STATEWIDE,"42,313","18,078",504,889,"21,237",175,106,"83,302"
Legislative District Code 33A,STATEWIDE,"13,991","6,666",177,272,"8,075",67,27,"29,275"
Legislative District Code 33B,STATEWIDE,"12,565","12,841",217,234,"8,928",46,28,"34,859"
Legislative District Code 33C,STATEWIDE,"12,906","11,867",242,229,"8,646",41,47,"33,978"
Legislative District Code 34A,STATEWIDE,"27,860","16,355",410,872,"14,842",129,57,"60,525"
Legislative District Code 34B,STATEWIDE,"11,027","14,073",219,303,"7,943",51,33,"33,649"
Legislative District Code 35A,STATEWIDE,"16,252","36,040",457,525,"14,649",66,54,"68,043"
Legislative District Code 35B,STATEWIDE,"7,697","16,735",208,377,"7,478",50,29,"32,574"
Legislative District Code 36,STATEWIDE,"29,540","45,790",608,927,"21,970",147,107,"99,089"
Legislative District Code 37A,STATEWIDE,"14,674","6,298",118,380,"5,541",61,32,"27,104"
Legislative District Code 37B,STATEWIDE,"21,627","31,066",380,604,"13,602",76,58,"67,413"
Legislative District Code 38A,STATEWIDE,"11,816","13,648",162,334,"6,152",39,29,"32,180"
Legislative District Code 38B,STATEWIDE,"10,925","8,606",159,323,"6,256",57,26,"26,352"
Legislative District Code 38C,STATEWIDE,"9,811","18,284",242,442,"8,024",48,38,"36,889"
Legislative District Code 39,STATEWIDE,"44,228","11,003",370,902,"21,372",173,115,"78,163"
Legislative District Code 40,STATEWIDE,"66,091","4,903",259,"1,257","13,545",173,177,"86,405"
Legislative District Code 41,STATEWIDE,"68,690","6,448",218,985,"12,337",133,103,"88,914"
Legislative District Code 42A,STATEWIDE,"11,514","15,252",197,300,"7,350",33,45,"34,691"
Legislative District Code 42B,STATEWIDE,"13,584","7,601",128,322,"6,094",36,41,"27,806"
Legislative District Code 42C,STATEWIDE,"7,689","17,678",204,269,"7,295",32,30,"33,197"
Legislative District Code 43A,STATEWIDE,"47,293","2,635",145,648,"8,393",87,143,"59,344"
Legislative District Code 43B,STATEWIDE,"14,594","4,071",100,229,"4,782",27,38,"23,841"
Legislative District Code 44A,STATEWIDE,"12,867","6,102",147,438,"5,751",55,36,"25,396"
Legislative District Code 44B,STATEWIDE,"39,922","7,684",208,721,"10,169",102,67,"58,873"
Legislative District Code 45,STATEWIDE,"66,241","5,552",229,"1,218","12,699",175,163,"86,277"
Legislative District Code 46,STATEWIDE,"50,550","9,673",403,912,"16,748",130,150,"78,566"
Legislative District Code 47A,STATEWIDE,"32,674","2,611",131,977,"7,428",88,67,"43,976"
Legislative District Code 47B,STATEWIDE,"9,094","1,051",62,370,"2,698",42,23,"13,340"
